2019-07-21 15:14:58 status unpacked libzstd1:armhf 1.3.8+dfsg-3
2019-07-21 15:14:59 install liblz4-1:armhf <none> 1.8.3-1
2019-07-21 15:14:59 status half-installed liblz4-1:armhf 1.8.3-1
2019-07-21 15:14:59 status unpacked liblz4-1:armhf 1.8.3-1
2019-07-21 15:14:59 upgrade mawk:armhf 1.3.3-17+b3 1.3.3-17+b3
2019-07-21 15:14:59 status half-configured mawk:armhf 1.3.3-17+b3
2019-07-21 15:14:59 status unpacked mawk:armhf 1.3.3-17+b3
2019-07-21 15:14:59 status half-installed mawk:armhf 1.3.3-17+b3
2019-07-21 15:14:59 status unpacked mawk:armhf 1.3.3-17+b3
2019-07-21 15:14:59 install libncursesw6:armhf <none> 6.1+20181013-2
2019-07-21 15:14:59 status half-installed libncursesw6:armhf 6.1+20181013-2
2019-07-21 15:14:59 status unpacked libncursesw6:armhf 6.1+20181013-2
2019-07-21 15:14:59 install libtinfo6:armhf <none> 6.1+20181013-2
2019-07-21 15:14:59 status half-installed libtinfo6:armhf 6.1+20181013-2
2019-07-21 15:14:59 status unpacked libtinfo6:armhf 6.1+20181013-2
2019-07-21 15:15:00 install ncurses-base:all <none> 6.1+20181013-2
2019-07-21 15:15:00 status half-installed ncurses-base:all 6.1+20181013-2
2019-07-21 15:15:00 status unpacked ncurses-base:all 6.1+20181013-2
2019-07-21 15:15:00 install ncurses-bin:armhf <none> 6.1+20181013-2
2019-07-21 15:15:00 status half-installed ncurses-bin:armhf 6.1+20181013-2
2019-07-21 15:15:00 status unpacked ncurses-bin:armhf 6.1+20181013-2
2019-07-21 15:15:00 install libhogweed4:armhf <none> 3.4.1-1
2019-07-21 15:15:00 status half-installed libhogweed4:armhf 3.4.1-1
2019-07-21 15:15:00 status unpacked libhogweed4:armhf 3.4.1-1
2019-07-21 15:15:00 install libnettle6:armhf <none> 3.4.1-1
2019-07-21 15:15:00 status half-installed libnettle6:armhf 3.4.1-1
2019-07-21 15:15:00 status unpacked libnettle6:armhf 3.4.1-1
2019-07-21 15:15:01 install libp11-kit0:armhf <none> 0.23.15-2
2019-07-21 15:15:01 status half-installed libp11-kit0:armhf 0.23.15-2
2019-07-21 15:15:01 status unpacked libp11-kit0:armhf 0.23.15-2
2019-07-21 15:15:01 install libpam-modules:armhf <none> 1.3.1-5
2019-07-21 15:15:01 status half-installed libpam-modules:armhf 1.3.1-5
2019-07-21 15:15:02 status unpacked libpam-modules:armhf 1.3.1-5
2019-07-21 15:15:02 install libpam-modules-bin:armhf <none> 1.3.1-5
2019-07-21 15:15:02 status half-installed libpam-modules-bin:armhf 1.3.1-5
2019-07-21 15:15:02 status unpacked libpam-modules-bin:armhf 1.3.1-5
2019-07-21 15:15:02 install libpam-runtime:all <none> 1.3.1-5
2019-07-21 15:15:02 status half-installed libpam-runtime:all 1.3.1-5
2019-07-21 15:15:02 status unpacked libpam-runtime:all 1.3.1-5
2019-07-21 15:15:02 install libpam0g:armhf <none> 1.3.1-5
2019-07-21 15:15:02 status half-installed libpam0g:armhf 1.3.1-5
2019-07-21 15:15:03 status unpacked libpam0g:armhf 1.3.1-5
2019-07-21 15:15:03 install libpcre3:armhf <none> 2:8.39-12
2019-07-21 15:15:03 status half-installed libpcre3:armhf 2:8.39-12
2019-07-21 15:15:03 status unpacked libpcre3:armhf 2:8.39-12
2019-07-21 15:15:03 upgrade perl-base:armhf 5.28.1-6 5.28.1-6
2019-07-21 15:15:03 status half-configured perl-base:armhf 5.28.1-6
2019-07-21 15:15:03 status unpacked perl-base:armhf 5.28.1-6
2019-07-21 15:15:03 status half-installed perl-base:armhf 5.28.1-6
2019-07-21 15:15:04 status unpacked perl-base:armhf 5.28.1-6
2019-07-21 15:15:04 install sed:armhf <none> 4.7-1
2019-07-21 15:15:04 status half-installed sed:armhf 4.7-1
2019-07-21 15:15:04 status unpacked sed:armhf 4.7-1
2019-07-21 15:15:04 install login:armhf <none> 1:4.5-1.1
